Price,Transmisson,Colour,Make Year,Mileage,Engine (CC),Fuel,Kilometer Run,Brand
540000.0,Manual-2WD,white,2014.0,14.0,800.0,Petrol,610000.0,Maruti Suzuki
1400000.0,Auto-2WD,Silver,2007.0,14.0,1400.0,Petrol,100000.0,Toyota
2190000.0,Manual-2WD,Mehroon,2017.0,14.0,1197.0,Petrol,38000.0,Maruti Suzuki
1375000.0,Manual-2WD,silver,2014.0,16.0,1000.0,Petrol,28000.0,Maruti Suzuki
2125000.0,Manual-2WD,Stardust,2014.0,15.0,1197.0,Petrol,48000.0,Hyundai
1150000.0,Manual-2WD,White,2014.0,16.0,1400.0,Diesel,70.0,Ford
1350000.0,Manual-2WD,Blue,2012.0,14.0,1200.0,Petrol,59000.0,Honda
1625000.0,Manual-2WD,white,2010.0,15.0,1500.0,Petrol,61000.0,Mazda
1950000.0,Manual-4WD,Silver,2007.0,15.0,50000.0,Petrol,50000.0,Maruti Suzuki
1725000.0,Manual-2WD,white,2013.0,15.0,50000.0,Petrol,62000.0,Volkswagen
1375000.0,Auto-2WD,white,2016.0,15.0,50000.0,Electric,50000.0,Mahindra
1675000.0,Manual-2WD,silver,2012.0,15.0,1200.0,Petrol,52000.0,Maruti Suzuki
1999999.0,Manual-2WD,Dew white,2017.0,17.0,1200.0,Petrol,50000.0,Tata
750000.0,Manual-2WD,gray,2008.0,15.0,800.0,Petrol,50000.0,Maruti Suzuki
795000.0,Manual-2WD,artic silver,2010.0,18.0,1405.0,Diesel,64000.0,Tata
3650000.0,Manual-2WD,white,2021.0,15.0,1200.0,Petrol,21000.0,Hyundai
4275000.0,Manual-2WD,Magnative Gray,2020.0,16.0,1500.0,Petrol,28500.0,Kia
2450000.0,Manual-2WD,Silver,2021.0,15.0,1000.0,Petrol,5600.0,Nissan
1900000.0,Auto-2WD,Metallic grey,2013.0,18.0,1200.0,Petrol,45000.0,Maruti Suzuki
3950000.0,Manual-2WD,White,2019.0,15.0,1600.0,Petrol,20000.0,Hyundai
